id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,auc,auc_ovo,auc_ovr,balacc,f05,f1,f2,logloss,mae,max_pce,mean_pce,mse,msle,pr_auc,r2,rmse,rmsle,models_ensemble_count
openml;org/t/168910,fabert,RandomForest,2h_2F_2c_16GB,1,multiclass,-0;793077,neg_logloss,local,1;1;1,{'n_estimators': 2000},2;0;5,2022-06-28T18:09:19,71;5,67;7,0;8,2000,1403036325,,0;722087,,0;936481,0;938519,0;692871,0;713737,0;711376,0;715922,0;793077,,0;612903,0;307129,,,,,,,
openml;org/t/9952,phoneme,RandomForest,2h_2F_2c_16GB,0,binary,0;9641,auc,local,1;1;1,{'n_estimators': 2000},2;0;5,2022-06-28T18:09:34,13;1,10;9,0;6,2000,1403036324,,0;909427,0;9641,,,0;893642,0;842627,0;847352,0;85213,0;227198,,0;144654,0;106358,,,0;927894,,,,
openml;org/t/9952,phoneme,RandomForest,2h_2F_2c_16GB,1,binary,0;974678,auc,local,1;1;1,{'n_estimators': 2000},2;0;5,2022-06-28T18:09:46,11;9,9;8,0;5,2000,1403036325,,0;926063,0;974678,,,0;9146,0;869297,0;875776,0;882353,0;209125,,0;113208,0;0853996,,,0;944403,,,,
openml;org/t/3913,kc2,RandomForest,2h_2F_2c_8GB,0,binary,0;863636,auc,local,1;1;1,{'n_estimators': 2000},2;0;5,2022-06-29T08:00:55,6;8,4;8,0;5,2000,1212055994,,0;773585,0;863636,,,0;622294,0;425532,0;4,0;377358,0;346831,,0;636364,0;377706,,,0;608702,,,,
openml;org/t/3913,kc2,RandomForest,2h_2F_2c_8GB,1,binary,0;864719,auc,local,1;1;1,{'n_estimators': 2000},2;0;5,2022-06-29T08:01:02,6;8,4;9,0;5,2000,1212055995,,0;886792,0;864719,,,0;727273,0;806452,0;625,0;510204,0;379458,,0;545455,0;272727,,,0;781404,,,,
openml;org/t/59,iris,RandomForest,2h_2F_2c_8GB,0,multiclass,-0;126558,neg_logloss,local,1;1;1,{'n_estimators': 2000},2;0;5,2022-06-29T08:01:22,6;5,4;7,0;4,2000,1212055994,,0;933333,,1;0,1;0,0;933333,0;93815,0;93266,0;931624,0;126558,,0;2,0;0666667,,,,,,,
openml;org/t/59,iris,RandomForest,2h_2F_2c_8GB,1,multiclass,-0;0275342,neg_logloss,local,1;1;1,{'n_estimators': 2000},2;0;5,2022-06-29T08:01:28,6;1,4;4,0;4,2000,1212055995,,1;0,,1;0,1;0,1;0,1;0,1;0,1;0,0;0275342,,0;0,0;0,,,,,,,
openml;org/t/2295,cholesterol,RandomForest,2h_2F_2c_8GB,0,regression,-43;8794,neg_rmse,local,1;1;1,{'n_estimators': 2000},2;0;5,2022-06-29T08:02:15,6;0,4;6,0;4,2000,1212055994,,,,,,,,,,,34;844,,,1925;4,0;0335092,,0;00613502,43;8794,0;183055,
openml;org/t/2295,cholesterol,RandomForest,2h_2F_2c_8GB,1,regression,-55;0046,neg_rmse,local,1;1;1,{'n_estimators': 2000},2;0;5,2022-06-29T08:02:22,6;5,5;0,0;4,2000,1212055995,,,,,,,,,,,43;5698,,,3025;5,0;0597936,,-0;0491497,55;0046,0;244527,
openml;org/t/10101,blood-transfusion,RandomForest,2h_2F_2c_8GB,0,binary,0;756823,auc,local,1;1;1,{'n_estimators': 2000},2;0;5,2022-06-29T08:02:46,6;7,4;7,0;5,2000,1212055994,,0;76,0;756823,,,0;595029,0;431034,0;357143,0;304878,0;493528,,0;722222,0;404971,,,0;531122,,,,
openml;org/t/10101,blood-transfusion,RandomForest,2h_2F_2c_8GB,1,binary,0;711988,auc,local,1;1;1,{'n_estimators': 2000},2;0;5,2022-06-29T08:02:53,6;7,4;8,0;5,2000,1212055995,,0;733333,0;711988,,,0;55848,0;344828,0;285714,0;243902,0;522587,,0;777778,0;44152,,,0;440466,,,,
openml;org/t/168910,fabert,RandomForest,2h_2F_2c_8GB,0,multiclass,-0;771567,neg_logloss,local,1;1;1,{'n_estimators': 2000},2;0;5,2022-06-29T08:06:05,82;0,76;2,0;8,2000,1212055994,,0;709951,,0;939724,0;941279,0;675002,0;69225,0;693588,0;701552,0;771567,,0;72043,0;324998,,,,,,,
openml;org/t/168910,fabert,RandomForest,2h_2F_2c_8GB,1,multiclass,-0;786665,neg_logloss,local,1;1;1,{'n_estimators': 2000},2;0;5,2022-06-29T08:07:27,82;1,77;5,0;7,2000,1212055995,,0;723301,,0;937345,0;939297,0;693487,0;71524,0;712697,0;717197,0;786665,,0;623656,0;306513,,,,,,,
